ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD_2,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Sporophila funerea,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Sporophila funerea,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Myrmotherula pacifica,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Myrmotherula pacifica,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Camptostoma obsoletum,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Sporophila corvina,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Glaucis hirsutus,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Patagioenas speciosa,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Ramphocelus flammigerus,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Stilpnia larvata,220,153523.0393,179580.0809,Survey
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Volatinia jacarina,220,153523.0393,179580.0809,Survey
FLO02,9,FLO02CDC44474705,2,-78.1154,1.622,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Manacus manacus,220,153300.1961,179547.2155,Survey
FLO02,9,FLO02CDC44474705,2,-78.1154,1.622,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Manacus manacus,220,153300.1961,179547.2155,Survey
FLO02,9,FLO02CDC44474705,2,-78.1154,1.622,CDC,2,vereda la Florida,10/5/2021,10,5,2021,Manacus manacus,220,153300.1961,179547.2155,Survey
