Species;Period;Abundance;Region
Heterospingus xanthopygius;MODERN;3;BARBACOAS
Hylophylax naevioides;MODERN;13;BARBACOAS
Ictinia plumbea;MODERN;1;BARBACOAS
Laterallus albigularis;MODERN;1;BARBACOAS
Legatus leucophaius;MODERN;4;BARBACOAS
Lepidothrix coronata;MODERN;61;BARBACOAS
Leptotila pallida;MODERN;1;BARBACOAS
Lophotriccus pileatus;MODERN;1;BARBACOAS
Loriotus luctuosus;MODERN;4;BARBACOAS
Malacoptila panamensis;MODERN;12;BARBACOAS
Manacus manacus;MODERN;96;BARBACOAS
Megaceryle torquata;MODERN;1;BARBACOAS
Megascops centralis;MODERN;1;BARBACOAS
Melanerpes pucherani;MODERN;4;BARBACOAS
Microbates cinereiventris;MODERN;16;BARBACOAS
Microcerculus marginatus;MODERN;17;BARBACOAS
Microrhopias quixensis;MODERN;4;BARBACOAS
Mionectes oleagineus;MODERN;9;BARBACOAS
Mionectes olivaceus;MODERN;25;BARBACOAS
Mitrospingus cassinii;MODERN;2;BARBACOAS
Mniotilta varia;MODERN;1;BARBACOAS
Molothrus bonariensis;MODERN;6;BARBACOAS
Myiobius barbatus;MODERN;14;BARBACOAS
Myiopagis caniceps;MODERN;1;BARBACOAS
Myiophobus fasciatus;MODERN;2;BARBACOAS
Myiornis atricapillus;MODERN;10;BARBACOAS
Myiothlypis fulvicauda;MODERN;6;BARBACOAS
Myiozetetes cayanensis;MODERN;36;BARBACOAS
Myiozetetes granadensis;MODERN;1;BARBACOAS
Myrmotherula axillaris;MODERN;21;BARBACOAS
Myrmotherula pacifica;MODERN;27;BARBACOAS
Nannopterum brasilianum;MODERN;2;BARBACOAS
Notharchus pectoralis;MODERN;17;BARBACOAS
Ornithion brunneicapillus;MODERN;1;BARBACOAS
Pachyramphus cinnamomeus;MODERN;5;BARBACOAS
Pachyramphus homochrous;MODERN;2;BARBACOAS
Pachysylvia decurtata;MODERN;10;BARBACOAS
Panyptila cayennensis;MODERN;15;BARBACOAS
Patagioenas cayennensis;MODERN;4;BARBACOAS
Patagioenas goodsoni;MODERN;26;BARBACOAS
Patagioenas speciosa;MODERN;3;BARBACOAS
Phaenostictus mcleannani;MODERN;13;BARBACOAS
Phaethornis striigularis;MODERN;13;BARBACOAS
Phaethornis yaruqui;MODERN;28;BARBACOAS
Piaya cayana;MODERN;1;BARBACOAS
Piculus litae;MODERN;1;BARBACOAS
Pionus chalcopterus;MODERN;1;BARBACOAS
Pionus menstruus;MODERN;36;BARBACOAS
Piranga rubra;MODERN;1;BARBACOAS
Poliocrania exsul;MODERN;80;BARBACOAS
Polyerata amabilis;MODERN;6;BARBACOAS
Polyerata rosenbergi;MODERN;18;BARBACOAS
Psarocolius wagleri;MODERN;5;BARBACOAS
Pteroglossus torquatus;MODERN;12;BARBACOAS
Pygochelidon cyanoleuca;MODERN;13;BARBACOAS
Pyrilia pulchra;MODERN;2;BARBACOAS
Querula purpurata;MODERN;44;BARBACOAS
Ramphastos ambiguus;MODERN;18;BARBACOAS
Ramphastos brevis;MODERN;25;BARBACOAS
Ramphocelus flammigerus;MODERN;54;BARBACOAS
Rhynchocyclus pacificus;MODERN;5;BARBACOAS
Rhynchortyx cinctus;MODERN;2;BARBACOAS
Rhytipterna holerythra;MODERN;1;BARBACOAS
Riparia riparia;MODERN;3;BARBACOAS
Rupornis magnirostris;MODERN;10;BARBACOAS
Saltator grossus;MODERN;4;BARBACOAS
Saltator maximus;MODERN;14;BARBACOAS
Sapayoa aenigma;MODERN;5;BARBACOAS
Setophaga petechia;MODERN;12;BARBACOAS
Sipia berlepschi;MODERN;13;BARBACOAS
Spizaetus ornatus;MODERN;1;BARBACOAS
Spizaetus tyrannus;MODERN;2;BARBACOAS
Sporophila corvina;MODERN;25;BARBACOAS
Sporophila funerea;MODERN;18;BARBACOAS
Sporophila nigricollis;MODERN;11;BARBACOAS
Stelgidopteryx ruficollis;MODERN;4;BARBACOAS
Stilpnia cyanicollis;MODERN;2;BARBACOAS
Stilpnia larvata;MODERN;27;BARBACOAS
Streptoprocne zonaris;MODERN;17;BARBACOAS
Tachyphonus delatrii;MODERN;69;BARBACOAS
Tachyphonus rufus;MODERN;3;BARBACOAS
Tangara johannae;MODERN;2;BARBACOAS
Taraba major;MODERN;4;BARBACOAS
Terenotriccus erythrurus;MODERN;8;BARBACOAS
Thalurania colombica;MODERN;2;BARBACOAS
Thamnophilus atrinucha;MODERN;88;BARBACOAS
Thraupis episcopus;MODERN;33;BARBACOAS
Thraupis palmarum;MODERN;12;BARBACOAS
Threnetes ruckeri;MODERN;13;BARBACOAS
Tinamus major;MODERN;3;BARBACOAS
Todirostrum cinereum;MODERN;3;BARBACOAS
Todirostrum nigriceps;MODERN;1;BARBACOAS
Tolmomyias assimilis;MODERN;2;BARBACOAS
Troglodytes aedon;MODERN;18;BARBACOAS
Trogon chionurus;MODERN;30;BARBACOAS
Trogon rufus;MODERN;2;BARBACOAS
Trogon viridis;MODERN;1;BARBACOAS
Tyrannulus elatus;MODERN;13;BARBACOAS
Tyrannus melancholicus;MODERN;24;BARBACOAS
Tyrannus tyrannus;MODERN;1;BARBACOAS
Vanellus chilensis;MODERN;3;BARBACOAS
Vireo chivi;MODERN;3;BARBACOAS
Volatinia jacarina;MODERN;14;BARBACOAS
Xenops minutus;MODERN;9;BARBACOAS
Xiphorhynchus lachrymosus;MODERN;1;BARBACOAS
Aburria aburri;HISTORICAL;4;SAN AGUSTIN
Aglaiocercus kingii;HISTORICAL;26;SAN AGUSTIN
Amazona mercenarius;HISTORICAL;4;SAN AGUSTIN
Anabacerthia striaticollis;HISTORICAL;12;SAN AGUSTIN
Anisognathus somptuosus;HISTORICAL;16;SAN AGUSTIN
Arremon brunneinucha;HISTORICAL;4;SAN AGUSTIN
Atlapetes albinucha;HISTORICAL;6;SAN AGUSTIN
Atlapetes fuscoolivaceus;HISTORICAL;8;SAN AGUSTIN
Aulacorhynchus albivitta;HISTORICAL;3;SAN AGUSTIN
Basileuterus tristriatus;HISTORICAL;11;SAN AGUSTIN
Butorides striata;HISTORICAL;1;SAN AGUSTIN
Campephilus melanoleucos;HISTORICAL;2;SAN AGUSTIN
Campylopterus falcatus;HISTORICAL;1;SAN AGUSTIN
Cardellina canadensis;HISTORICAL;2;SAN AGUSTIN
Catharus maculatus;HISTORICAL;10;SAN AGUSTIN
Chaetocercus heliodor;HISTORICAL;1;SAN AGUSTIN
Chalcothraupis ruficervix;HISTORICAL;2;SAN AGUSTIN
Chalybura buffonii;HISTORICAL;7;SAN AGUSTIN
Chamaepetes goudotii;HISTORICAL;3;SAN AGUSTIN
Chamaeza turdina;HISTORICAL;2;SAN AGUSTIN
Chlorochrysa calliparaea;HISTORICAL;3;SAN AGUSTIN
Chlorophanes spiza;HISTORICAL;1;SAN AGUSTIN
Chlorospingus canigularis;HISTORICAL;2;SAN AGUSTIN
Chlorospingus flavigularis;HISTORICAL;2;SAN AGUSTIN
Chlorospingus flavopectus;HISTORICAL;1;SAN AGUSTIN
Chlorostilbon melanorhynchus;HISTORICAL;6;SAN AGUSTIN
Chrysuronia goudoti;HISTORICAL;1;SAN AGUSTIN
Cinclus leucocephalus;HISTORICAL;2;SAN AGUSTIN
Coeligena coeligena;HISTORICAL;2;SAN AGUSTIN
Coereba flaveola;HISTORICAL;6;SAN AGUSTIN
Colaptes rubiginosus;HISTORICAL;1;SAN AGUSTIN
Conopophaga castaneiceps;HISTORICAL;5;SAN AGUSTIN
Contopus fumigatus;HISTORICAL;6;SAN AGUSTIN
Contopus sordidulus;HISTORICAL;1;SAN AGUSTIN
Contopus virens;HISTORICAL;1;SAN AGUSTIN
Cranioleuca curtata;HISTORICAL;2;SAN AGUSTIN
Creurgops verticalis;HISTORICAL;12;SAN AGUSTIN
Crotophaga ani;HISTORICAL;1;SAN AGUSTIN
Cyanocorax yncas;HISTORICAL;7;SAN AGUSTIN
Cyclarhis nigrirostris;HISTORICAL;1;SAN AGUSTIN
Dendrocolaptes picumnus;HISTORICAL;3;SAN AGUSTIN
Diglossa sittoides;HISTORICAL;3;SAN AGUSTIN
Dolichonyx oryzivorus;HISTORICAL;1;SAN AGUSTIN
Dryobates fumigatus;HISTORICAL;3;SAN AGUSTIN
Dysithamnus mentalis;HISTORICAL;6;SAN AGUSTIN
Elaenia chiriquensis;HISTORICAL;12;SAN AGUSTIN
Elaenia flavogaster;HISTORICAL;1;SAN AGUSTIN
Eubucco bourcierii;HISTORICAL;3;SAN AGUSTIN
Euphonia xanthogaster;HISTORICAL;2;SAN AGUSTIN
Falco rufigularis;HISTORICAL;2;SAN AGUSTIN
Grallaria hypoleuca;HISTORICAL;3;SAN AGUSTIN
Haplophaedia aureliae;HISTORICAL;10;SAN AGUSTIN
Heliodoxa leadbeateri;HISTORICAL;24;SAN AGUSTIN
Heliomaster longirostris;HISTORICAL;1;SAN AGUSTIN
Hemithraupis guira;HISTORICAL;1;SAN AGUSTIN
Henicorhina leucophrys;HISTORICAL;9;SAN AGUSTIN
Icterus chrysater;HISTORICAL;1;SAN AGUSTIN
Ixothraupis xanthogastra;HISTORICAL;6;SAN AGUSTIN
Knipolegus poecilurus;HISTORICAL;4;SAN AGUSTIN
Lepidocolaptes lacrymiger;HISTORICAL;9;SAN AGUSTIN
Leptopogon rufipectus;HISTORICAL;13;SAN AGUSTIN
Leptopogon superciliaris;HISTORICAL;3;SAN AGUSTIN
Leptotila verreauxi;HISTORICAL;2;SAN AGUSTIN
Lophotriccus pileatus;HISTORICAL;3;SAN AGUSTIN
Masius chrysopterus;HISTORICAL;5;SAN AGUSTIN
Melanerpes formicivorus;HISTORICAL;4;SAN AGUSTIN
Milvago chimachima;HISTORICAL;1;SAN AGUSTIN
Mimus gilvus;HISTORICAL;1;SAN AGUSTIN
Mionectes striaticollis;HISTORICAL;9;SAN AGUSTIN
Molothrus bonariensis;HISTORICAL;2;SAN AGUSTIN
Momotus aequatorialis;HISTORICAL;4;SAN AGUSTIN
Myadestes ralloides;HISTORICAL;1;SAN AGUSTIN
Myiarchus cephalotes;HISTORICAL;3;SAN AGUSTIN
Myioborus miniatus;HISTORICAL;13;SAN AGUSTIN
Myiodynastes chrysocephalus;HISTORICAL;7;SAN AGUSTIN
Myiothlypis coronata;HISTORICAL;1;SAN AGUSTIN
Myiozetetes cayanensis;HISTORICAL;3;SAN AGUSTIN
Myrmotherula schisticolor;HISTORICAL;8;SAN AGUSTIN
Nyctidromus albicollis;HISTORICAL;2;SAN AGUSTIN
Ochthoeca cinnamomeiventris;HISTORICAL;6;SAN AGUSTIN
Ocreatus underwoodii;HISTORICAL;6;SAN AGUSTIN
Odontorchilus branickii;HISTORICAL;1;SAN AGUSTIN
Ortalis columbiana;HISTORICAL;7;SAN AGUSTIN
Orthopsittaca manilatus;HISTORICAL;2;SAN AGUSTIN
Pachysylvia semibrunnea;HISTORICAL;2;SAN AGUSTIN
Parkesia noveboracensis;HISTORICAL;1;SAN AGUSTIN
Patagioenas fasciata;HISTORICAL;1;SAN AGUSTIN
Penelope montagnii;HISTORICAL;1;SAN AGUSTIN
Pheugopedius mystacalis;HISTORICAL;2;SAN AGUSTIN
Phyllomyias plumbeiceps;HISTORICAL;2;SAN AGUSTIN
Phylloscartes poecilotis;HISTORICAL;1;SAN AGUSTIN
Piaya cayana;HISTORICAL;5;SAN AGUSTIN
Picumnus olivaceus;HISTORICAL;6;SAN AGUSTIN
Pionus chalcopterus;HISTORICAL;6;SAN AGUSTIN
Pipreola lubomirskii;HISTORICAL;1;SAN AGUSTIN
Platyrinchus flavigularis;HISTORICAL;5;SAN AGUSTIN
Platyrinchus mystaceus;HISTORICAL;1;SAN AGUSTIN
Poecilotriccus ruficeps;HISTORICAL;3;SAN AGUSTIN
Premnoplex brunnescens;HISTORICAL;2;SAN AGUSTIN
Premnornis guttuliger;HISTORICAL;3;SAN AGUSTIN
Psarocolius decumanus;HISTORICAL;2;SAN AGUSTIN
Pseudocolaptes boissonneautii;HISTORICAL;1;SAN AGUSTIN
Pygochelidon cyanoleuca;HISTORICAL;1;SAN AGUSTIN
Pyriglena leuconota;HISTORICAL;15;SAN AGUSTIN
Pyroderus scutatus;HISTORICAL;2;SAN AGUSTIN
Pyrrhomyias cinnamomeus;HISTORICAL;12;SAN AGUSTIN
Pyrrhura melanura;HISTORICAL;3;SAN AGUSTIN
Ramphastos ambiguus;HISTORICAL;5;SAN AGUSTIN
Ramphocelus dimidiatus;HISTORICAL;6;SAN AGUSTIN
Rhynchocyclus fulvipectus;HISTORICAL;1;SAN AGUSTIN
Rupicola peruvianus;HISTORICAL;81;SAN AGUSTIN
Rupornis magnirostris;HISTORICAL;1;SAN AGUSTIN
Saltator striatipectus;HISTORICAL;11;SAN AGUSTIN
Sayornis nigricans;HISTORICAL;1;SAN AGUSTIN
Scytalopus atratus;HISTORICAL;2;SAN AGUSTIN
Scytalopus micropterus;HISTORICAL;6;SAN AGUSTIN
Serpophaga cinerea;HISTORICAL;3;SAN AGUSTIN
Setophaga fusca;HISTORICAL;2;SAN AGUSTIN
Setophaga petechia;HISTORICAL;1;SAN AGUSTIN
Setophaga pitiayumi;HISTORICAL;1;SAN AGUSTIN
Siptornis striaticollis;HISTORICAL;1;SAN AGUSTIN
Spinus psaltria;HISTORICAL;5;SAN AGUSTIN
Sporophila intermedia;HISTORICAL;1;SAN AGUSTIN
Sporophila minuta;HISTORICAL;1;SAN AGUSTIN
Sporophila nigricollis;HISTORICAL;5;SAN AGUSTIN
Stilpnia cyanicollis;HISTORICAL;26;SAN AGUSTIN
Stilpnia heinei;HISTORICAL;4;SAN AGUSTIN
Stilpnia larvata;HISTORICAL;1;SAN AGUSTIN
Stilpnia vitriolina;HISTORICAL;19;SAN AGUSTIN
Synallaxis azarae;HISTORICAL;8;SAN AGUSTIN
Synallaxis brachyura;HISTORICAL;2;SAN AGUSTIN
Syndactyla subalaris;HISTORICAL;2;SAN AGUSTIN
Tachyphonus rufus;HISTORICAL;10;SAN AGUSTIN
Tangara arthus;HISTORICAL;4;SAN AGUSTIN
Tangara inornata;HISTORICAL;1;SAN AGUSTIN
Tangara labradorides;HISTORICAL;5;SAN AGUSTIN
Tangara parzudakii;HISTORICAL;1;SAN AGUSTIN
Thalurania colombica;HISTORICAL;28;SAN AGUSTIN
Thamnophilus multistriatus;HISTORICAL;6;SAN AGUSTIN
Thamnophilus unicolor;HISTORICAL;10;SAN AGUSTIN
Tiaris olivaceus;HISTORICAL;7;SAN AGUSTIN
Tringa solitaria;HISTORICAL;1;SAN AGUSTIN
Troglodytes solstitialis;HISTORICAL;1;SAN AGUSTIN
Trogon collaris;HISTORICAL;3;SAN AGUSTIN
Turdus ignobilis;HISTORICAL;8;SAN AGUSTIN
Turdus leucops;HISTORICAL;2;SAN AGUSTIN
Tyrannus melancholicus;HISTORICAL;2;SAN AGUSTIN
Tyrannus tyrannus;HISTORICAL;1;SAN AGUSTIN
Uranomitra franciae;HISTORICAL;5;SAN AGUSTIN
Vireo leucophrys;HISTORICAL;8;SAN AGUSTIN
Xenops rutilans;HISTORICAL;1;SAN AGUSTIN
Xiphocolaptes promeropirhynchus;HISTORICAL;4;SAN AGUSTIN
Xiphorhynchus triangularis;HISTORICAL;25;SAN AGUSTIN
Zimmerius chrysops;HISTORICAL;3;SAN AGUSTIN
Zonotrichia capensis;HISTORICAL;6;SAN AGUSTIN
Accipiter striatus;MODERN;1;SAN AGUSTIN
Adelomyia melanogenys;MODERN;16;SAN AGUSTIN
Aglaiocercus kingii;MODERN;6;SAN AGUSTIN
Amazilia tzacatl;MODERN;1;SAN AGUSTIN
Anabacerthia striaticollis;MODERN;1;SAN AGUSTIN
Anisognathus somptuosus;MODERN;6;SAN AGUSTIN
Anthocephala berlepschi;MODERN;7;SAN AGUSTIN
Anthracothorax nigricollis;MODERN;1;SAN AGUSTIN
Arremon brunneinucha;MODERN;17;SAN AGUSTIN
Atlapetes albinucha;MODERN;1;SAN AGUSTIN
Atlapetes fuscoolivaceus;MODERN;24;SAN AGUSTIN
Aulacorhynchus albivitta;MODERN;10;SAN AGUSTIN
Basileuterus tristriatus;MODERN;21;SAN AGUSTIN
Boissonneaua flavescens;MODERN;12;SAN AGUSTIN
Bubulcus ibis;MODERN;14;SAN AGUSTIN
Campephilus pollens;MODERN;1;SAN AGUSTIN
Camptostoma obsoletum;MODERN;4;SAN AGUSTIN
Campylorhamphus pusillus;MODERN;1;SAN AGUSTIN
Catharus aurantiirostris;MODERN;19;SAN AGUSTIN
Catharus fuscater;MODERN;3;SAN AGUSTIN
Chalybura buffonii;MODERN;2;SAN AGUSTIN
Chamaepetes goudotii;MODERN;1;SAN AGUSTIN
Chamaeza turdina;MODERN;4;SAN AGUSTIN
